Subject,Gender,Handedness,Age_in_Yrs,PicSeq_Unadj,PicSeq_AgeAdj,CardSort_Unadj,CardSort_AgeAdj,Flanker_Unadj,Flanker_AgeAdj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,ReadEng_Unadj,ReadEng_AgeAdj,PicVocab_Unadj,PicVocab_AgeAdj,ProcSpeed_Unadj,ProcSpeed_AgeAdj,ListSort_Unadj,ListSort_AgeAdj,CogFluidComp_Unadj,CogFluidComp_AgeAdj,CogEarlyComp_Unadj,CogEarlyComp_AgeAdj,CogTotalComp_Unadj,CogTotalComp_AgeAdj,CogCrystalComp_Unadj,CogCrystalComp_AgeAdj
189652,1,80,30,116.13,113.29,122.5,112.52,89.59,78.01,20,0,20001.5,111.714,97.80318,117.3556,107.2076,89.64,70.51,104.06,97.6,102.48,90.12,112.71,102.66,108.54,94.51,115.03,103.64
190031,0,95,27,118.7,112.44,133.28,117.33,111.24,100.75,20,0,14663.5,124.57,119.82,123.66,121.81,122.7,112.37,117.39,108.26,127.08,119.62,129.79,124.24,138.11,134.48,125.56,125.56
190132,0,80,31,90.87,78.41,106.98,96.14,102.71,93.49,6,13,3860,128.749,122.7544,125.9507,120.4326,105.28,93.58,93.9,84.01,96.94,80.53,106.09,91.18,114.91,105.44,128.59,126.59
191033,0,80,28,122.66,117.47,114.32,99.8,116.34,106.38,22,0,18069.5,110.88,98.38,113.7,108.39,115.9,102.73,104.06,94.33,,,121.33,111.97,,,112.71,104.23
191235,1,75,24,101.78,91.63,117.98,103.42,121.28,110.41,19,0,20470,113.7257,104.0187,113.1324,107.7477,134.82,127.45,108.06,98.44,120.61,110.85,116.2,104.14,123,115.78,113.88,106.8
191336,1,90,30,106.4,100.46,134.24,121.24,123.33,115.21,12,7,4030,120.4,112.76,120.92,112.15,131.39,129.6,126.18,122.75,132.76,134.28,128.89,126.5,140.22,138.18,121.96,116.53
191437,0,70,35,122.66,120.31,99.01,87.81,95.26,84.84,15,4,10474,113.93,102.24,117.18,106.95,102.93,90.12,126.18,122.75,109.22,100.76,108.69,95.56,114.73,105.25,116.17,105.86
191841,0,40,26,101.57,91.25,111.59,96.9,109.37,99.02,19,0,42985,114.48,105,114.12,108.88,112.65,98.44,112.89,103.57,109.72,93.88,109.47,93.41,114.05,102.58,114.81,108.85
191942,1,95,27,101.99,91.88,109.56,95.21,98.63,86.92,22,0,14290,112.3828,101.2576,125.4275,124.9577,109.05,92.66,112.89,103.57,105.31,87.02,109.18,92.77,114.75,103.7,120.09,117.86
192035,0,-30,30,106.6,100.63,107.15,96.37,104.56,95.65,14,5,23790,116.0042,105.6342,109.4123,94.20238,105.28,93.58,104.06,97.6,103.95,92.64,106.46,91.87,108.25,93.86,113.08,99.61
192136,1,70,22,135.55,130.24,112.74,98.08,117.89,107.54,15,4,18900,93.86195,75.10873,101.1325,84.61769,121.22,110.48,108.06,98.44,125.05,116.29,121.51,112.17,112.7,100.43,97.77,75.66
192237,0,95,35,101.57,93.58,99.01,87.81,100.04,90.27,16,3,17801,112.6398,99.26678,116.1344,105.5894,98.16,83.22,100.43,93.3,96.82,80.31,102.87,85.88,104.39,87.39,114.84,103.31
192439,0,100,34,82.37,65.33,106,95.24,111.68,104.36,9,10,5704,104.98,87.86,100.79,78.04,107.66,96.69,88.68,75.82,96.1,79.24,97.99,77.81,96.12,74.45,102.93,79.95
192540,0,60,28,135.55,130.24,119.76,105.69,114.15,103.91,23,0,25601,115.97,107.85,105.98,94.27,109.84,94.2,112.89,103.57,123.77,114.68,125.13,117.17,123.41,116.4,111.23,101.46
192641,0,-35,34,115.73,112.28,112.65,102.48,118.95,111.91,16,3,9169,119.7266,112.0045,121.5331,112.9982,126.95,124.42,112.89,107.32,121.79,119.92,122.56,117.03,131.11,127.63,121.95,116.48
192843,1,75,28,116.13,110.97,113.03,98.47,124.13,112.44,21,0,18360,115.16,106.36,119.88,117.03,101.28,82.02,100.43,89.14,111.73,97.19,124.46,115.93,119,110.41,118.5,115.43
193239,0,80,30,121.82,118.72,111.26,100.97,117.4,110.65,17,2,17519,109.25,94.31,101.08,78.81,123.79,120.13,100.43,93.3,117.26,114.51,115.2,106.54,112.51,101.56,105.37,83.98
193441,1,100,28,135.55,130.24,117.1,102.65,115.66,105.67,8,11,3999.5,109.4369,96.38399,112.271,106.631,111.11,96.12,133.93,128.24,130.8,124.26,127.29,120.22,129.31,124.33,111.03,101.16
193845,1,55,24,135.55,130.24,116.7,102.3,113.07,102.39,19,0,18180,105.9446,91.08729,116.529,112.1854,126.95,118.18,112.89,103.57,128.11,120.2,127.74,121.03,126.99,121.93,111.48,102.06
194140,0,100,30,88.06,75.17,104.77,93.77,110.9,103.63,5,14,2730,107.98,92.12,104.42,84.92,107.74,96.84,93.9,84.01,98.28,82.98,100.05,81.53,99.35,79.23,106.43,85.73
194443,1,35,27,121.82,116.16,116.64,102.15,109.37,99.02,22,0,12039.5,124.9449,120.3351,117.7173,113.7493,135.98,129.22,100.43,89.14,120.67,110.99,120.67,111.11,130.61,125.94,122.73,121.73
194645,1,85,27,121.82,116.16,116.7,102.3,113.75,103.49,17,2,20284,120.9898,115.2325,102.9776,88.18571,77.83,50.59,112.89,103.57,108.36,91.88,116.67,104.91,111.02,97.5,112.26,103.63
194746,1,100,35,95.17,85.15,104.98,94.07,102.05,92.5,16,3,23744.5,123.5326,116.8366,121.2995,112.6158,98.16,83.22,108.06,102.63,99,84.1,105.02,89.41,112.48,101.49,123.59,119.19
194847,0,95,34,125.71,125.19,113.99,103.76,112.56,105.21,23,0,23370,118.53,109.92,117.85,107.83,112.26,104.02,126.18,122.75,123.09,121.65,123.1,117.61,129.9,126.12,119.37,111.76
195041,0,80,31,93.31,82.66,119.58,109.69,108.94,101.24,16,3,12870,126.2651,120.2287,112.9418,101.1482,126.95,124.42,100.43,93.3,110.07,102.24,108.92,95.84,119.63,112.48,120.79,114.49
